rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.54473647E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.34853327E-07
1.00000000E-09  1.54473647E-01  -3.60000000E-21  1.00000000E-06  2.46442932E-10  4.34853327E-07
1.00010000E-09  1.54473647E-01  -3.60108011E-21  1.00000000E-06  2.46467577E-10  4.34853327E-07
1.00060000E-09  1.54473647E-01  -3.60648389E-21  1.00000000E-06  2.46590798E-10  4.34853327E-07
1.00310000E-09  1.54473647E-01  -3.63358390E-21  1.00000000E-06  2.47206906E-10  4.34853327E-07
1.01560000E-09  1.54473647E-01  -3.77112196E-21  1.00000000E-06  2.50287444E-10  4.34853327E-07
1.07810000E-09  1.54473647E-01  -4.51107075E-21  1.00000000E-06  2.65690133E-10  4.34853327E-07
1.39060000E-09  1.54473647E-01  -9.68075381E-21  1.00000000E-06  3.42703575E-10  4.34853327E-07
2.95310000E-09  1.54473647E-01  -9.27122160E-20  1.00000000E-06  7.27770753E-10  4.34853327E-07
1.07656000E-08  1.54473647E-01  -4.49176699E-18  1.00000000E-06  2.65310656E-09  4.34853327E-07
4.98281000E-08  1.54473648E-01  -4.45374633E-16  1.00000001E-06  1.22797855E-08  4.34853326E-07
1.09022607E-07  1.54473653E-01  -4.66500560E-15  1.00000003E-06  2.68678563E-08  4.34853325E-07
2.51433044E-07  1.54473681E-01  -5.72228426E-14  1.00000015E-06  6.19639072E-08  4.34853319E-07
7.58709215E-07  1.54473956E-01  -1.57227090E-12  1.00000138E-06  1.86978511E-07  4.34853256E-07
1.38153140E-06  1.54474672E-01  -9.49250435E-12  1.00000458E-06  3.40468417E-07  4.34853092E-07
2.10746655E-06  1.54476032E-01  -3.36957645E-11  1.00001066E-06  5.19369271E-07  4.34852779E-07
2.90978636E-06  1.54478194E-01  -8.86886743E-11  1.00002032E-06  7.17093611E-07  4.34852283E-07
3.77388351E-06  1.54481296E-01  -1.93480983E-10  1.00003418E-06  9.30040961E-07  4.34851572E-07
4.68993167E-06  1.54485460E-01  -3.71326716E-10  1.00005278E-06  1.15578895E-06  4.34850616E-07
5.65097889E-06  1.54490797E-01  -6.49541630E-10  1.00007663E-06  1.39262346E-06  4.34849392E-07
6.65184778E-06  1.54497410E-01  -1.05934440E-09  1.00010617E-06  1.63926755E-06  4.34847875E-07
7.68852973E-06  1.54505394E-01  -1.63572081E-09  1.00014183E-06  1.89473223E-06  4.34846043E-07
8.75782504E-06  1.54514839E-01  -2.41730487E-09  1.00018401E-06  2.15822772E-06  4.34843876E-07
9.85711627E-06  1.54525828E-01  -3.44627258E-09  1.00023308E-06  2.42910763E-06  4.34841354E-07
1.09842201E-05  1.54538443E-01  -4.76824672E-09  1.00028940E-06  2.70683245E-06  4.34838460E-07
1.21372850E-05  1.54552759E-01  -6.43220886E-09  1.00035330E-06  2.99094431E-06  4.34835175E-07
1.33147187E-05  1.54568852E-01  -8.49041732E-09  1.00042511E-06  3.28104914E-06  4.34831483E-07
1.45151364E-05  1.54586791E-01  -1.09983318E-08  1.00050514E-06  3.57680389E-06  4.34827367E-07
1.57373212E-05  1.54606644E-01  -1.40145405E-08  1.00059369E-06  3.87790681E-06  4.34822811E-07
1.69801944E-05  1.54628478E-01  -1.76006909E-08  1.00069103E-06  4.18409007E-06  4.34817801E-07
1.82427924E-05  1.54652355E-01  -2.18214236E-08  1.00079744E-06  4.49511414E-06  4.34812322E-07
1.95242488E-05  1.54678339E-01  -2.67443081E-08  1.00091320E-06  4.81076333E-06  4.34806359E-07
2.08237802E-05  1.54706489E-01  -3.24397819E-08  1.00103855E-06  5.13084231E-06  4.34799900E-07
2.21406733E-05  1.54736862E-01  -3.89810847E-08  1.00117374E-06  5.45517292E-06  4.34792929E-07
2.34742762E-05  1.54769517E-01  -4.64442008E-08  1.00131901E-06  5.78359208E-06  4.34785435E-07
2.48239911E-05  1.54804509E-01  -5.49078018E-08  1.00147459E-06  6.11594990E-06  4.34777405E-07
2.61892667E-05  1.54841891E-01  -6.44531848E-08  1.00164070E-06  6.45210789E-06  4.34768825E-07
2.75695924E-05  1.54881716E-01  -7.51642089E-08  1.00181756E-06  6.79193749E-06  4.34759685E-07
2.89644957E-05  1.54924037E-01  -8.71272531E-08  1.00200538E-06  7.13531946E-06  4.34749971E-07
3.03735352E-05  1.54968903E-01  -1.00431132E-07  1.00220435E-06  7.48214209E-06  4.34739673E-07
3.17962989E-05  1.55016365E-01  -1.15167053E-07  1.00241468E-06  7.83230089E-06  4.34728778E-07
3.32324022E-05  1.55066470E-01  -1.31428565E-07  1.00263655E-06  8.18569801E-06  4.34717277E-07
3.46814837E-05  1.55119266E-01  -1.49311482E-07  1.00287014E-06  8.54224118E-06  4.34705157E-07
3.61432030E-05  1.55174800E-01  -1.68913832E-07  1.00311563E-06  8.90184334E-06  4.34692407E-07
3.76172390E-05  1.55233117E-01  -1.90335781E-07  1.00337319E-06  9.26442199E-06  4.34679019E-07
3.91032901E-05  1.55294262E-01  -2.13679618E-07  1.00364298E-06  9.62989942E-06  4.34664980E-07
4.06010701E-05  1.55358280E-01  -2.39049649E-07  1.00392516E-06  9.99820160E-06  4.34650280E-07
4.21103067E-05  1.55425213E-01  -2.66552129E-07  1.00421988E-06  1.03692579E-05  4.34634911E-07
4.36307423E-05  1.55495104E-01  -2.96295235E-07  1.00452728E-06  1.07430011E-05  4.34618861E-07
4.51621318E-05  1.55567995E-01  -3.28388985E-07  1.00484752E-06  1.11193671E-05  4.34602121E-07
4.67042415E-05  1.55643927E-01  -3.62945167E-07  1.00518071E-06  1.14982946E-05  4.34584681E-07
