rho             ne              v_phi           Te              E_rho           Psi              
0.00000000E+00  1.64806338E-01   0.00000000E+00  1.00000000E-06  0.00000000E+00  4.99600888E-07
5.77984634E-05  1.66722922E-01  -6.84118196E-08  1.00789084E-06  1.27480092E-05  4.99232126E-07
5.94013825E-05  1.66830428E-01  -7.41968279E-08  1.00832717E-06  1.31001362E-05  4.99211410E-07
6.10131010E-05  1.66941459E-01  -8.03278034E-08  1.00877711E-06  1.34540797E-05  4.99190011E-07
6.26334690E-05  1.67056049E-01  -8.68169057E-08  1.00924073E-06  1.38098017E-05  4.99167922E-07
6.42623428E-05  1.67174234E-01  -9.36763935E-08  1.00971812E-06  1.41672655E-05  4.99145137E-07
6.58995833E-05  1.67296046E-01  -1.00918614E-07  1.01020933E-06  1.45264354E-05  4.99121648E-07
6.75450574E-05  1.67421519E-01  -1.08556006E-07  1.01071442E-06  1.48872769E-05  4.99097448E-07
6.91986331E-05  1.67550687E-01  -1.16601066E-07  1.01123346E-06  1.52497558E-05  4.99072531E-07
7.08601866E-05  1.67683580E-01  -1.25066381E-07  1.01176649E-06  1.56138395E-05  4.99046890E-07
7.25295960E-05  1.67820230E-01  -1.33964588E-07  1.01231355E-06  1.59794957E-05  4.99020519E-07
7.42067410E-05  1.67960669E-01  -1.43308368E-07  1.01287469E-06  1.63466926E-05  4.98993411E-07
7.58915095E-05  1.68104928E-01  -1.53110476E-07  1.01344993E-06  1.67153999E-05  4.98965560E-07
7.75837901E-05  1.68253035E-01  -1.63383690E-07  1.01403932E-06  1.70855876E-05  4.98936960E-07
7.92834753E-05  1.68405020E-01  -1.74140831E-07  1.01464287E-06  1.74572264E-05  4.98907604E-07
8.09904617E-05  1.68560913E-01  -1.85394749E-07  1.01526061E-06  1.78302879E-05  4.98877486E-07
8.27046452E-05  1.68720741E-01  -1.97158289E-07  1.01589255E-06  1.82047433E-05  4.98846601E-07
8.44259292E-05  1.68884533E-01  -2.09444342E-07  1.01653869E-06  1.85805657E-05  4.98814942E-07
8.61542183E-05  1.69052316E-01  -2.22265795E-07  1.01719905E-06  1.89577281E-05  4.98782503E-07
8.78894145E-05  1.69224116E-01  -2.35635493E-07  1.01787361E-06  1.93362031E-05  4.98749279E-07
8.96314304E-05  1.69399960E-01  -2.49566332E-07  1.01856239E-06  1.97159654E-05  4.98715265E-07
9.13801787E-05  1.69579875E-01  -2.64071178E-07  1.01926536E-06  2.00969898E-05  4.98680453E-07
9.31355721E-05  1.69763885E-01  -2.79162855E-07  1.01998252E-06  2.04792510E-05  4.98644839E-07
9.48975227E-05  1.69952015E-01  -2.94854130E-07  1.02071383E-06  2.08627234E-05  4.98608418E-07
9.66659509E-05  1.70144290E-01  -3.11157788E-07  1.02145928E-06  2.12473834E-05  4.98571184E-07
9.84407787E-05  1.70340733E-01  -3.28086567E-07  1.02221884E-06  2.16332074E-05  4.98533131E-07
1.00221926E-04  1.70541369E-01  -3.45653115E-07  1.02299247E-06  2.20201716E-05  4.98494254E-07
1.02009314E-04  1.70746220E-01  -3.63870022E-07  1.02378013E-06  2.24082524E-05  4.98454549E-07
1.03802869E-04  1.70955308E-01  -3.82749832E-07  1.02458179E-06  2.27974269E-05  4.98414009E-07
1.05602520E-04  1.71168656E-01  -4.02305032E-07  1.02539738E-06  2.31876731E-05  4.98372631E-07
1.07408197E-04  1.71386285E-01  -4.22548035E-07  1.02622686E-06  2.35789692E-05  4.98330408E-07
1.09219828E-04  1.71608217E-01  -4.43491110E-07  1.02707017E-06  2.39712924E-05  4.98287336E-07
1.11037344E-04  1.71834471E-01  -4.65146473E-07  1.02792725E-06  2.43646214E-05  4.98243411E-07
1.12860680E-04  1.72065069E-01  -4.87526246E-07  1.02879803E-06  2.47589348E-05  4.98198626E-07
1.14689770E-04  1.72300031E-01  -5.10642440E-07  1.02968244E-06  2.51542117E-05  4.98152978E-07
1.16524553E-04  1.72539375E-01  -5.34506973E-07  1.03058040E-06  2.55504317E-05  4.98106462E-07
1.18364961E-04  1.72783120E-01  -5.59131561E-07  1.03149184E-06  2.59475730E-05  4.98059073E-07
1.20210933E-04  1.73031284E-01  -5.84527862E-07  1.03241666E-06  2.63456156E-05  4.98010808E-07
1.22062417E-04  1.73283887E-01  -6.10707496E-07  1.03335479E-06  2.67445408E-05  4.97961660E-07
1.23919346E-04  1.73540945E-01  -6.37681731E-07  1.03430613E-06  2.71443270E-05  4.97911626E-07
1.25781666E-04  1.73802476E-01  -6.65461868E-07  1.03527058E-06  2.75449554E-05  4.97860701E-07
1.27649318E-04  1.74068495E-01  -6.94058978E-07  1.03624803E-06  2.79464062E-05  4.97808882E-07
1.29522250E-04  1.74339020E-01  -7.23484021E-07  1.03723840E-06  2.83486605E-05  4.97756163E-07
1.31400406E-04  1.74614067E-01  -7.53747785E-07  1.03824157E-06  2.87516992E-05  4.97702542E-07
1.33283735E-04  1.74893650E-01  -7.84860879E-07  1.03925742E-06  2.91555035E-05  4.97648013E-07
1.35172181E-04  1.75177785E-01  -8.16833719E-07  1.04028584E-06  2.95600543E-05  4.97592572E-07
1.37065693E-04  1.75466486E-01  -8.49676566E-07  1.04132671E-06  2.99653331E-05  4.97536216E-07
1.38964222E-04  1.75759767E-01  -8.83399516E-07  1.04237990E-06  3.03713216E-05  4.97478940E-07
1.40867719E-04  1.76057643E-01  -9.18012481E-07  1.04344529E-06  3.07780019E-05  4.97420741E-07
