,rho,ne,v_phi,Te,E_rho
794,0.00397,1.0339057,-7.5271714e-05,9.6460646e-07,6.446580000000465e-05
795,0.003975,1.0338313,-7.4902975e-05,9.647069e-07,6.421499999999163e-05
796,0.00398,1.0337568,-7.4535598e-05,9.6480743e-07,6.396560000000068e-05
797,0.003985,1.0336821,-7.4169581e-05,9.6490805e-07,6.371640000000462e-05
798,0.00399,1.0336073,-7.380492e-05,9.6500875e-07,6.346840000000231e-05
799,0.003995,1.0335324,-7.3441615e-05,9.6510952e-07,6.322099999999121e-05
800,0.004,1.0334574,-7.3079662e-05,9.6521038e-07,6.297440000000232e-05
801,0.004005,1.0333822,-7.2719058e-05,9.653113e-07,6.272880000000343e-05
802,0.00401,1.033307,-7.2359802e-05,9.654123e-07,6.248360000000068e-05
803,0.004015,1.0332317,-7.200189e-05,9.6551336e-07,6.223939999999344e-05
804,0.00402,1.0331562,-7.1645321e-05,9.6561448e-07,6.199600000000273e-05
805,0.004025,1.0330807,-7.1290092e-05,9.6571567e-07,6.17534000000015e-05
806,0.00403,1.033005,-7.09362e-05,9.6581691e-07,6.151140000000243e-05
807,0.004035,1.0329293,-7.0583643e-05,9.6591821e-07,6.127019999999298e-05
808,0.00404,1.0328535,-7.0232418e-05,9.6601956e-07,6.102980000000241e-05
809,0.004045,1.0327776,-6.9882523e-05,9.6612096e-07,6.079040000000218e-05
810,0.00405,1.0327016,-6.9533955e-05,9.6622241e-07,6.055160000000149e-05
811,0.004055,1.0326255,-6.9186712e-05,9.663239e-07,6.031340000000297e-05
812,0.00406,1.0325494,-6.884079e-05,9.6642543e-07,6.007619999999237e-05
813,0.004065,1.0324731,-6.8496188e-05,9.66527e-07,5.983960000000214e-05
814,0.00407,1.0323968,-6.8152903e-05,9.666286e-07,5.960380000000174e-05
815,0.004075,1.0323204,-6.7810932e-05,9.6673023e-07,5.936880000000159e-05
816,0.00408,1.032244,-6.7470273e-05,9.668319e-07,5.913459999999409e-05
817,0.004085,1.0321675,-6.7130923e-05,9.6693359e-07,5.890120000000207e-05
818,0.00409,1.0320909,-6.6792879e-05,9.670353e-07,5.866840000000197e-05
819,0.004095,1.0320142,-6.6456139e-05,9.6713703e-07,5.8436400000002116e-05
820,0.0041,1.0319375,-6.61207e-05,9.6723879e-07,5.820519999999243e-05
821,0.004105,1.0318607,-6.578656e-05,9.6734056e-07,5.7974800000003184e-05
822,0.00411,1.0317839,-6.5453715e-05,9.6744234e-07,5.774500000000073e-05
823,0.004115,1.031707,-6.5122163e-05,9.6754413e-07,5.75162000000019e-05
824,0.00412,1.0316301,-6.4791902e-05,9.6764593e-07,5.728779999999458e-05
825,0.004125,1.0315531,-6.4462929e-05,9.6774773e-07,5.706040000000018e-05
826,0.00413,1.031476,-6.4135241e-05,9.6784954e-07,5.683360000000332e-05
827,0.004135,1.0313989,-6.3808835e-05,9.6795134e-07,5.660760000000141e-05
828,0.00414,1.0313218,-6.3483709e-05,9.6805315e-07,5.638240000000241e-05
829,0.004145,1.0312446,-6.315986e-05,9.6815495e-07,5.6157999999993915e-05
830,0.00415,1.0311674,-6.2837285e-05,9.6825674e-07,5.593400000000107e-05
831,0.004155,1.0310901,-6.2515981e-05,9.6835852e-07,5.571120000000282e-05
832,0.00416,1.0310129,-6.2195946e-05,9.6846028e-07,5.548880000000339e-05
833,0.004165,1.0309355,-6.1877178e-05,9.6856204e-07,5.5267199999991975e-05
834,0.00417,1.0308582,-6.1559672e-05,9.6866377e-07,5.504640000000264e-05
835,0.004175,1.0307808,-6.1243427e-05,9.6876548e-07,5.48262000000006e-05
836,0.00418,1.0307034,-6.092844e-05,9.6886718e-07,5.4607000000002176e-05
837,0.004185,1.0306259,-6.0614708e-05,9.6896884e-07,5.438819999999313e-05
838,0.00419,1.0305484,-6.0302228e-05,9.6907048e-07,5.4170400000003936e-05
839,0.004195,1.030471,-5.9990997e-05,9.6917209e-07,5.395320000000219e-05
840,0.0042,1.0303934,-5.9681013e-05,9.6927367e-07,5.373659999999997e-05
841,0.004205,1.0303159,-5.9372272e-05,9.6937521e-07,5.352099999999474e-05
842,0.00421,1.0302384,-5.9064773e-05,9.6947671e-07,5.330580000000159e-05
843,0.004215,1.0301608,-5.8758511e-05,9.6957818e-07,5.309160000000146e-05
844,0.00422,1.0300832,-5.8453485e-05,9.696796e-07,5.2878000000002186e-05
845,0.004225,1.0300056,-5.8149692e-05,9.6978098e-07,5.266520000000316e-05
846,0.00423,1.029928,-5.7847128e-05,9.6988232e-07,5.2452799999992526e-05
847,0.004235,1.0298504,-5.7545791e-05,9.6998361e-07,5.224160000000179e-05
848,0.00424,1.0297728,-5.7245678e-05,9.7008484e-07,5.203060000000268e-05
849,0.004245,1.0296952,-5.6946786e-05,9.7018603e-07,5.1820800000002626e-05
850,0.00425,1.0296176,-5.6649113e-05,9.7028715e-07,5.161139999999243e-05
851,0.004255,1.02954,-5.6352654e-05,9.7038823e-07,5.140260000000231e-05
852,0.00426,1.0294624,-5.6057409e-05,9.7048924e-07,5.119480000000157e-05
853,0.004265,1.0293848,-5.5763373e-05,9.7059019e-07,5.0987600000003015e-05
854,0.00427,1.0293072,-5.5470544e-05,9.7069108e-07,5.078119999999325e-05
855,0.004275,1.0292296,-5.5178918e-05,9.707919e-07,5.0575200000001237e-05
856,0.00428,1.029152,-5.4888494e-05,9.7089265e-07,5.037020000000272e-05
857,0.004285,1.0290744,-5.4599268e-05,9.7099334e-07,5.016560000000168e-05
858,0.00429,1.0289968,-5.4311237e-05,9.7109395e-07,4.996199999999295e-05
859,0.004295,1.0289193,-5.4024398e-05,9.7119449e-07,4.9759000000002415e-05
860,0.0043,1.0288417,-5.3738749e-05,9.7129495e-07,4.9556600000001415e-05
861,0.004305,1.0287642,-5.3454286e-05,9.7139534e-07,4.935480000000259e-05
862,0.00431,1.0286867,-5.3171007e-05,9.7149564e-07,4.91540000000021e-05
863,0.004315,1.0286092,-5.2888908e-05,9.7159587e-07,4.895359999999324e-05
864,0.00432,1.0285317,-5.2607987e-05,9.7169601e-07,4.875420000000235e-05
865,0.004325,1.0284543,-5.2328241e-05,9.7179606e-07,4.855520000000178e-05
866,0.00433,1.0283769,-5.2049666e-05,9.7189603e-07,4.835680000000205e-05
867,0.004335,1.0282995,-5.1772261e-05,9.719959e-07,4.815939999999363e-05
868,0.00434,1.0282221,-5.1496021e-05,9.7209569e-07,4.7962600000001444e-05
869,0.004345,1.0281448,-5.1220945e-05,9.7219538e-07,4.776620000000236e-05
870,0.00435,1.0280675,-5.0947028e-05,9.7229497e-07,4.757080000000161e-05
871,0.004355,1.0279902,-5.0674269e-05,9.7239447e-07,4.737599999999349e-05
872,0.00436,1.0279129,-5.0402664e-05,9.7249387e-07,4.7181600000001934e-05
873,0.004365,1.0278357,-5.0132209e-05,9.7259317e-07,4.698840000000254e-05
874,0.00437,1.0277586,-4.9862903e-05,9.7269237e-07,4.679540000000123e-05
875,0.004375,1.0276814,-4.9594743e-05,9.7279146e-07,4.6603199999994736e-05
876,0.00438,1.0276043,-4.9327724e-05,9.7289045e-07,4.641180000000202e-05
877,0.004385,1.0275273,-4.9061845e-05,9.7298932e-07,4.6220800000001345e-05
878,0.00439,1.0274503,-4.8797101e-05,9.7308809e-07,4.603080000000165e-05
879,0.004395,1.0273733,-4.8533492e-05,9.7318675e-07,4.5841200000002085e-05
880,0.0044,1.0272964,-4.8271012e-05,9.7328529e-07,4.565239999999353e-05
881,0.004405,1.0272195,-4.800966e-05,9.7338372e-07,4.546400000000227e-05
882,0.00441,1.0271426,-4.7749432e-05,9.7348203e-07,4.5276600000001416e-05
883,0.004415,1.0270659,-4.7490325e-05,9.7358022e-07,4.508980000000274e-05
884,0.00442,1.0269891,-4.7232336e-05,9.736783e-07,4.4903599999993164e-05
885,0.004425,1.0269124,-4.6975463e-05,9.7377625e-07,4.471780000000193e-05
886,0.00443,1.0268358,-4.6719702e-05,9.7387408e-07,4.453300000000258e-05
887,0.004435,1.0267592,-4.6465051e-05,9.7397178e-07,4.434880000000142e-05
888,0.00444,1.0266827,-4.6211505e-05,9.7406936e-07,4.416499999999406e-05
889,0.004445,1.0266062,-4.5959063e-05,9.7416681e-07,4.398200000000227e-05
890,0.00445,1.0265298,-4.5707721e-05,9.7426413e-07,4.3799800000001755e-05
891,0.004455,1.0264535,-4.5457476e-05,9.7436131e-07,4.361800000000137e-05
892,0.00446,1.0263772,-4.5208325e-05,9.7445837e-07,4.34369999999937e-05
893,0.004465,1.0263009,-4.4960266e-05,9.7455529e-07,4.325640000000255e-05
894,0.00447,1.0262248,-4.4713294e-05,9.7465208e-07,4.307680000000088e-05
895,0.004475,1.0261487,-4.4467408e-05,9.7474872e-07,4.289760000000198e-05
896,0.00448,1.0260726,-4.4222603e-05,9.7484523e-07,4.271900000000261e-05
897,0.004485,1.0259967,-4.3978878e-05,9.749416e-07,4.254119999999347e-05
898,0.00449,1.0259207,-4.3736228e-05,9.7503783e-07,4.236400000000259e-05
899,0.004495,1.0258449,-4.3494652e-05,9.7513391e-07,4.218720000000182e-05
900,0.0045,1.0257691,-4.3254145e-05,9.7522985e-07,4.201120000000129e-05
901,0.004505,1.0256934,-4.3014705e-05,9.7532565e-07,4.183599999999376e-05
902,0.00451,1.0256178,-4.2776329e-05,9.7542129e-07,4.16612000000022e-05
903,0.004515,1.0255422,-4.2539014e-05,9.7551679e-07,4.148700000000159e-05
904,0.00452,1.0254667,-4.2302757e-05,9.7561214e-07,4.131360000000123e-05
905,0.004525,1.0253913,-4.2067554e-05,9.7570733e-07,4.114059999999519e-05
906,0.00453,1.025316,-4.1833402e-05,9.7580238e-07,4.096840000000103e-05
907,0.004535,1.0252407,-4.16003e-05,9.7589727e-07,4.07966000000025e-05
908,0.00454,1.0251656,-4.1368243e-05,9.75992e-07,4.062580000000099e-05
909,0.004545,1.0250905,-4.1137228e-05,9.7608657e-07,4.045519999999451e-05
910,0.00455,1.0250154,-4.0907252e-05,9.7618099e-07,4.0285400000002316e-05
911,0.004555,1.0249405,-4.0678314e-05,9.7627525e-07,4.0116200000001315e-05
912,0.00456,1.0248656,-4.0450408e-05,9.7636935e-07,3.994780000000189e-05
913,0.004565,1.0247909,-4.0223532e-05,9.7646328e-07,3.9779600000001865e-05
914,0.00457,1.0247162,-3.9997684e-05,9.7655706e-07,3.96121999999939e-05
915,0.004575,1.0246416,-3.977286e-05,9.7665066e-07,3.944560000000259e-05
916,0.00458,1.024567,-3.9549057e-05,9.7674411e-07,3.9279200000001154e-05
917,0.004585,1.0244926,-3.9326272e-05,9.7683738e-07,3.9113800000002024e-05
918,0.00459,1.0244182,-3.9104502e-05,9.7693049e-07,3.894879999999494e-05
919,0.004595,1.024344,-3.8883743e-05,9.7702343e-07,3.87844000000009e-05
920,0.0046,1.0242698,-3.8663994e-05,9.7711619e-07,3.862060000000228e-05
921,0.004605,1.0241957,-3.844525e-05,9.7720879e-07,3.8457400000000544e-05
922,0.00461,1.0241217,-3.822751e-05,9.7730121e-07,3.829479999999566e-05
923,0.004615,1.0240478,-3.8010768e-05,9.7739346e-07,3.813280000000095e-05
924,0.00462,1.023974,-3.7795024e-05,9.7748554e-07,3.797140000000177e-05
925,0.004625,1.0239003,-3.7580272e-05,9.7757744e-07,3.781060000000212e-05
926,0.00463,1.0238267,-3.7366512e-05,9.7766916e-07,3.765040000000068e-05
927,0.004635,1.0237532,-3.7153739e-05,9.777607e-07,3.7490599999995504e-05
928,0.00464,1.0236798,-3.694195e-05,9.7785206e-07,3.7331800000001674e-05
929,0.004645,1.0236064,-3.6731142e-05,9.7794325e-07,3.717300000000134e-05
930,0.00465,1.0235332,-3.6521313e-05,9.7803425e-07,3.701520000000199e-05
931,0.004655,1.0234601,-3.6312458e-05,9.7812507e-07,3.6857799999995045e-05
932,0.00466,1.023387,-3.6104576e-05,9.782157e-07,3.670120000000114e-05
933,0.004665,1.0233141,-3.5897663e-05,9.7830615e-07,3.654500000000097e-05
934,0.00467,1.0232413,-3.5691716e-05,9.7839642e-07,3.638920000000226e-05
935,0.004675,1.0231685,-3.5486732e-05,9.784865e-07,3.623439999999427e-05
936,0.00468,1.0230959,-3.5282708e-05,9.7857639e-07,3.6079800000002216e-05
937,0.004685,1.0230234,-3.5079641e-05,9.786661e-07,3.592600000000149e-05
938,0.00469,1.022951,-3.4877527e-05,9.7875561e-07,3.577260000000089e-05
939,0.004695,1.0228787,-3.4676364e-05,9.7884494e-07,3.5619799999994966e-05
940,0.0047,1.0228065,-3.4476149e-05,9.7893407e-07,3.5467600000002256e-05
941,0.004705,1.0227344,-3.4276879e-05,9.7902301e-07,3.531600000000157e-05
942,0.00471,1.0226624,-3.407855e-05,9.7911176e-07,3.5165000000001734e-05
943,0.004715,1.0225905,-3.3881159e-05,9.7920031e-07,3.5014400000000706e-05
944,0.00472,1.0225187,-3.3684704e-05,9.7928867e-07,3.48643999999958e-05
945,0.004725,1.022447,-3.3489182e-05,9.7937684e-07,3.471500000000121e-05
946,0.00473,1.0223755,-3.3294588e-05,9.7946481e-07,3.4566400000000815e-05
947,0.004735,1.022304,-3.3100922e-05,9.7955258e-07,3.441780000000175e-05
948,0.00474,1.0222327,-3.2908178e-05,9.7964015e-07,3.427019999999507e-05
949,0.004745,1.0221615,-3.2716355e-05,9.7972752e-07,3.4123000000001726e-05
950,0.00475,1.0220904,-3.2525449e-05,9.798147e-07,3.3976400000001974e-05
951,0.004755,1.0220194,-3.2335457e-05,9.7990167e-07,3.383020000000102e-05
952,0.00476,1.0219485,-3.2146376e-05,9.7998844e-07,3.368479999999581e-05
953,0.004765,1.0218777,-3.1958204e-05,9.8007501e-07,3.353960000000036e-05
954,0.00477,1.0218071,-3.1770936e-05,9.8016138e-07,3.339540000000137e-05
955,0.004775,1.0217365,-3.158457e-05,9.8024754e-07,3.325120000000238e-05
956,0.00478,1.0216661,-3.1399104e-05,9.803335e-07,3.310799999999466e-05
957,0.004785,1.0215958,-3.1214533e-05,9.8041926e-07,3.296520000000252e-05
958,0.00479,1.0215256,-3.1030856e-05,9.8050481e-07,3.28228000000008e-05
959,0.004795,1.0214555,-3.0848068e-05,9.8059015e-07,3.2681000000001255e-05
960,0.0048,1.0213856,-3.0666167e-05,9.8067529e-07,3.2539800000001236e-05
961,0.004805,1.0213158,-3.0485151e-05,9.8076021e-07,3.239919999999513e-05
962,0.00481,1.021246,-3.0305015e-05,9.8084493e-07,3.225880000000231e-05
963,0.004815,1.0211765,-3.0125757e-05,9.8092944e-07,3.211940000000088e-05
964,0.00482,1.021107,-2.9947373e-05,9.8101374e-07,3.19802000000015e-05
965,0.004825,1.0210376,-2.9769862e-05,9.8109783e-07,3.18413999999954e-05
966,0.00483,1.0209684,-2.9593219e-05,9.8118171e-07,3.170360000000133e-05
967,0.004835,1.0208993,-2.9417443e-05,9.8126538e-07,3.1566000000001134e-05
968,0.00484,1.0208303,-2.9242529e-05,9.8134884e-07,3.1429000000001796e-05
969,0.004845,1.0207615,-2.9068475e-05,9.8143208e-07,3.129239999999583e-05
970,0.00485,1.0206928,-2.8895277e-05,9.8151511e-07,3.115640000000157e-05
971,0.004855,1.0206242,-2.8722934e-05,9.8159792e-07,3.102100000000142e-05
972,0.00486,1.0205557,-2.8551441e-05,9.8168052e-07,3.088600000000007e-05
973,0.004865,1.0204873,-2.8380797e-05,9.8176291e-07,3.075159999999689e-05
974,0.00487,1.0204191,-2.8210997e-05,9.8184508e-07,3.0617600000000525e-05
975,0.004875,1.020351,-2.8042039e-05,9.8192703e-07,3.048420000000101e-05
976,0.00488,1.020283,-2.787392e-05,9.8200877e-07,3.035140000000235e-05
977,0.004885,1.0202152,-2.7706637e-05,9.8209029e-07,3.0219000000001165e-05
978,0.00489,1.0201474,-2.7540186e-05,9.8217159e-07,3.0086999999996214e-05
979,0.004895,1.0200799,-2.7374566e-05,9.8225267e-07,2.995560000000123e-05
980,0.0049,1.0200124,-2.7209773e-05,9.8233353e-07,2.982480000000056e-05
981,0.004905,1.0199451,-2.7045804e-05,9.8241418e-07,2.969440000000134e-05
982,0.00491,1.0198779,-2.6882656e-05,9.8249461e-07,2.9564399999995793e-05
983,0.004915,1.0198108,-2.6720326e-05,9.8257481e-07,2.9435000000001357e-05
984,0.00492,1.0197439,-2.6558811e-05,9.826548e-07,2.9306200000001322e-05
985,0.004925,1.019677,-2.6398108e-05,9.8273456e-07,2.9178000000000817e-05
986,0.00493,1.0196104,-2.6238215e-05,9.828141e-07,2.9049799999996596e-05
987,0.004935,1.0195438,-2.6079128e-05,9.8289342e-07,2.8922600000000786e-05
988,0.00494,1.0194774,-2.5920844e-05,9.8297252e-07,2.8795600000001988e-05
989,0.004945,1.0194111,-2.5763361e-05,9.8305139e-07,2.866900000000067e-05
990,0.00495,1.019345,-2.5606675e-05,9.8313005e-07,2.8543399999996702e-05
991,0.004955,1.019279,-2.5450784e-05,9.8320848e-07,2.841760000000059e-05
992,0.00496,1.0192131,-2.5295684e-05,9.8328668e-07,2.829280000000117e-05
993,0.004965,1.0191473,-2.5141373e-05,9.8336466e-07,2.8168400000001212e-05
994,0.00497,1.0190817,-2.4987848e-05,9.8344242e-07,2.8044400000000724e-05
995,0.004975,1.0190162,-2.4835106e-05,9.8351995e-07,2.792079999999684e-05
996,0.00498,1.0189509,-2.4683144e-05,9.8359725e-07,2.7797800000000854e-05
997,0.004985,1.0188857,-2.4531958e-05,9.8367434e-07,2.767520000000147e-05
998,0.00499,1.0188206,-2.4381547e-05,9.8375119e-07,2.7553000000000893e-05
999,0.004995,1.0187557,-2.4231908e-05,9.8382782e-07,2.7431599999996473e-05
1000,0.005,1.0186909,-2.4083036e-05,9.8390422e-07,2.7310400000000974e-05
1001,0.005005,1.0186262,-2.393493e-05,9.8398039e-07,2.7189800000000906e-05
1002,0.00501,1.0185617,-2.3787587e-05,9.8405634e-07,2.7069400000000903e-05
1003,0.005015,1.0184973,-2.3641003e-05,9.8413206e-07,2.6949799999996477e-05
1004,0.00502,1.0184331,-2.3495176e-05,9.8420756e-07,2.683060000000153e-05
1005,0.005025,1.018369,-2.3350103e-05,9.8428282e-07,2.6711800000000716e-05
1006,0.00503,1.018305,-2.3205781e-05,9.8435786e-07,2.6593400000001347e-05
1007,0.005035,1.0182412,-2.3062207e-05,9.8443267e-07,2.6475599999996257e-05
1008,0.00504,1.0181775,-2.2919378e-05,9.8450725e-07,2.635820000000114e-05
1009,0.005045,1.0181139,-2.2777292e-05,9.845816e-07,2.6241200000000897e-05
1010,0.00505,1.0180505,-2.2635946e-05,9.8465572e-07,2.612480000000151e-05
1011,0.005055,1.0179872,-2.2495336e-05,9.8472961e-07,2.6008600000000858e-05
1012,0.00506,1.0179241,-2.235546e-05,9.8480328e-07,2.5893199999996634e-05
1013,0.005065,1.0178611,-2.2216316e-05,9.8487671e-07,2.5778000000000792e-05
1014,0.00507,1.0177982,-2.2077899e-05,9.8494991e-07,2.566360000000138e-05
1015,0.005075,1.0177355,-2.1940208e-05,9.8502289e-07,2.554920000000064e-05
1016,0.00508,1.0176729,-2.1803239e-05,9.8509563e-07,2.5435399999997005e-05
1017,0.005085,1.0176105,-2.166699e-05,9.8516815e-07,2.5322000000001e-05
1018,0.00509,1.0175482,-2.1531458e-05,9.8524043e-07,2.5209400000000833e-05
1019,0.005095,1.0174861,-2.139664e-05,9.8531248e-07,2.509680000000133e-05
1020,0.0051,1.017424,-2.1262534e-05,9.853843e-07,2.4984999999996428e-05
1021,0.005105,1.0173622,-2.1129136e-05,9.8545589e-07,2.4873400000000916e-05
1022,0.00511,1.0173005,-2.0996443e-05,9.8552725e-07,2.4762200000001198e-05
1023,0.005115,1.0172389,-2.0864454e-05,9.8559838e-07,2.4651800000001074e-05
1024,0.00512,1.0171774,-2.0733164e-05,9.8566928e-07,2.454139999999669e-05
1025,0.005125,1.0171161,-2.0602572e-05,9.8573995e-07,2.443180000000108e-05
1026,0.00513,1.017055,-2.0472674e-05,9.8581038e-07,2.4322400000000613e-05
1027,0.005135,1.016994,-2.0343468e-05,9.8588058e-07,2.4213400000000936e-05
1028,0.00514,1.0169331,-2.0214951e-05,9.8595056e-07,2.4105000000001447e-05
1029,0.005145,1.0168724,-2.0087121e-05,9.860203e-07,2.3996999999996603e-05
1030,0.00515,1.0168118,-1.9959973e-05,9.8608981e-07,2.3889400000000873e-05
1031,0.005155,1.0167514,-1.9833507e-05,9.8615908e-07,2.378240000000117e-05
1032,0.00516,1.0166911,-1.9707718e-05,9.8622813e-07,2.3675400000000807e-05
1033,0.005165,1.0166309,-1.9582605e-05,9.8629694e-07,2.356919999999727e-05
1034,0.00517,1.0165709,-1.9458164e-05,9.8636552e-07,2.3463400000000715e-05
1035,0.005175,1.0165111,-1.9334393e-05,9.8643387e-07,2.3357800000000798e-05
1036,0.00518,1.0164514,-1.9211288e-05,9.8650199e-07,2.3253000000001138e-05
1037,0.005185,1.0163918,-1.9088848e-05,9.8656987e-07,2.3148199999996795e-05
1038,0.00519,1.0163324,-1.896707e-05,9.8663753e-07,2.304400000000068e-05
1039,0.005195,1.0162731,-1.884595e-05,9.8670495e-07,2.2940200000001336e-05
1040,0.0052,1.0162139,-1.8725487e-05,9.8677214e-07,2.283700000000086e-05
1041,0.005205,1.016155,-1.8605677e-05,9.868391e-07,2.2733999999997164e-05
1042,0.00521,1.0160961,-1.8486517e-05,9.8690582e-07,2.2631400000000825e-05
1043,0.005215,1.0160374,-1.8368006e-05,9.8697232e-07,2.2529200000000665e-05
1044,0.00522,1.0159789,-1.825014e-05,9.8703858e-07,2.2427600000001364e-05
1045,0.005225,1.0159205,-1.8132916e-05,9.8710461e-07,2.2326400000000864e-05
1046,0.00523,1.0158622,-1.8016333e-05,9.8717041e-07,2.222539999999657e-05
1047,0.005235,1.0158041,-1.7900387e-05,9.8723598e-07,2.2125000000000843e-05
1048,0.00524,1.0157461,-1.7785076e-05,9.8730131e-07,2.2024800000001324e-05
1049,0.005245,1.0156883,-1.7670396e-05,9.8736642e-07,2.1925400000000737e-05
1050,0.00525,1.0156306,-1.7556346e-05,9.8743129e-07,2.182579999999696e-05
1051,0.005255,1.0155731,-1.7442923e-05,9.8749593e-07,2.1727200000001075e-05
1052,0.00526,1.0155157,-1.7330123e-05,9.8756034e-07,2.162860000000074e-05
1053,0.005265,1.0154584,-1.7217945e-05,9.8762452e-07,2.153060000000126e-05
1054,0.00527,1.0154014,-1.7106386e-05,9.8768847e-07,2.143299999999687e-05
1055,0.005275,1.0153444,-1.6995443e-05,9.8775218e-07,2.1335600000000636e-05
1056,0.00528,1.0152876,-1.6885114e-05,9.8781567e-07,2.123900000000094e-05
1057,0.005285,1.015231,-1.6775395e-05,9.8787893e-07,2.114220000000118e-05
1058,0.00529,1.0151745,-1.6666285e-05,9.8794195e-07,2.1046399999996767e-05
1059,0.005295,1.0151181,-1.655778e-05,9.8800474e-07,2.0950600000000978e-05
1060,0.0053,1.0150619,-1.6449879e-05,9.8806731e-07,2.0855200000001003e-05
1061,0.005305,1.0150058,-1.6342578e-05,9.8812964e-07,2.0760400000000558e-05
1062,0.00531,1.0149499,-1.6235875e-05,9.8819175e-07,2.0665800000000838e-05
1063,0.005315,1.0148941,-1.6129767e-05,9.8825362e-07,2.0571799999997742e-05
1064,0.00532,1.0148385,-1.6024252e-05,9.8831526e-07,2.0478000000000525e-05
1065,0.005325,1.014783,-1.5919327e-05,9.8837668e-07,2.0384600000001187e-05
1066,0.00533,1.0147277,-1.581499e-05,9.8843786e-07,2.0291600000000655e-05
1067,0.005335,1.0146725,-1.5711238e-05,9.8849882e-07,2.019919999999747e-05
1068,0.00534,1.0146175,-1.5608069e-05,9.8855954e-07,2.0106800000000632e-05
1069,0.005345,1.0145626,-1.5505479e-05,9.8862004e-07,2.0015000000001142e-05
1070,0.00535,1.0145078,-1.5403467e-05,9.8868031e-07,1.992360000000046e-05
1071,0.005355,1.0144532,-1.530203e-05,9.8874035e-07,1.983239999999706e-05
1072,0.00536,1.0143988,-1.5201166e-05,9.8880017e-07,1.9741800000001394e-05
1073,0.005365,1.0143445,-1.5100871e-05,9.8885975e-07,1.965140000000037e-05
1074,0.00537,1.0142903,-1.5001144e-05,9.8891911e-07,1.956140000000079e-05
1075,0.005375,1.0142363,-1.4901981e-05,9.8897824e-07,1.947180000000068e-05
1076,0.00538,1.0141825,-1.4803381e-05,9.8903714e-07,1.9382799999997398e-05
1077,0.005385,1.0141287,-1.4705341e-05,9.8909581e-07,1.9293800000000842e-05
1078,0.00539,1.0140752,-1.4607858e-05,9.8915426e-07,1.920520000000105e-05
1079,0.005395,1.0140218,-1.451093e-05,9.8921248e-07,1.9117200000000787e-05
1080,0.0054,1.0139685,-1.4414555e-05,9.8927047e-07,1.9029399999997287e-05
1081,0.005405,1.0139154,-1.431873e-05,9.8932824e-07,1.8942200000001243e-05
1082,0.00541,1.0138624,-1.4223452e-05,9.8938578e-07,1.8855000000000574e-05
1083,0.005415,1.0138095,-1.4128719e-05,9.894431e-07,1.8768200000000696e-05
1084,0.00542,1.0137569,-1.4034528e-05,9.8950019e-07,1.868219999999717e-05
1085,0.005425,1.0137043,-1.3940878e-05,9.8955706e-07,1.8596000000001382e-05
1086,0.00543,1.0136519,-1.3847766e-05,9.896137e-07,1.8510600000000625e-05
1087,0.005435,1.0135997,-1.3755189e-05,9.8967011e-07,1.842520000000053e-05
1088,0.00544,1.0135476,-1.3663144e-05,9.8972631e-07,1.8340399999997447e-05
1089,0.005445,1.0134956,-1.357163e-05,9.8978227e-07,1.825600000000085e-05
1090,0.00545,1.0134438,-1.3480645e-05,9.8983802e-07,1.8171600000001075e-05
1091,0.005455,1.0133922,-1.3390185e-05,9.8989354e-07,1.8087800000000166e-05
1092,0.00546,1.0133406,-1.3300248e-05,9.8994884e-07,1.8004400000000708e-05
1093,0.005465,1.0132893,-1.3210831e-05,9.9000391e-07,1.792139999999761e-05
1094,0.00547,1.0132381,-1.3121934e-05,9.9005876e-07,1.783860000000079e-05
1095,0.005475,1.013187,-1.3033552e-05,9.9011339e-07,1.7756000000000926e-05
1096,0.00548,1.0131361,-1.2945684e-05,9.901678e-07,1.767400000000059e-05
1097,0.005485,1.0130853,-1.2858328e-05,9.9022199e-07,1.759219999999793e-05
1098,0.00549,1.0130346,-1.277148e-05,9.9027595e-07,1.7511000000000904e-05
1099,0.005495,1.0129841,-1.2685139e-05,9.903297e-07,1.742980000000016e-05
1100,0.0055,1.0129338,-1.2599303e-05,9.9038322e-07,1.734900000000087e-05
1101,0.005505,1.0128836,-1.2513968e-05,9.9043652e-07,1.7268799999998116e-05
1102,0.00551,1.0128335,-1.2429133e-05,9.9048961e-07,1.7188600000000688e-05
1103,0.005515,1.0127836,-1.2344795e-05,9.9054247e-07,1.7109000000000456e-05
1104,0.00552,1.0127339,-1.2260952e-05,9.9059512e-07,1.7029800000000353e-05
1105,0.005525,1.0126842,-1.2177602e-05,9.9064754e-07,1.695059999999797e-05
1106,0.00553,1.0126348,-1.2094742e-05,9.9069975e-07,1.6871800000000935e-05
1107,0.005535,1.0125854,-1.201237e-05,9.9075174e-07,1.679360000000049e-05
1108,0.00554,1.0125363,-1.1930484e-05,9.9080351e-07,1.6715400000000704e-05
1109,0.005545,1.0124872,-1.1849081e-05,9.9085507e-07,1.663780000000045e-05
1110,0.00555,1.0124383,-1.1768159e-05,9.909064e-07,1.656059999999811e-05
1111,0.005555,1.0123896,-1.1687717e-05,9.9095752e-07,1.648320000000079e-05
1112,0.00556,1.012341,-1.1607751e-05,9.9100843e-07,1.6406800000000258e-05
1113,0.005565,1.0122925,-1.1528259e-05,9.9105912e-07,1.633020000000098e-05
1114,0.00557,1.0122442,-1.1449239e-05,9.9110959e-07,1.6254199999997755e-05
