,rho,ne,v_phi,Te,E_rho
74,0.00037,0.30546605,-0.00010595207,1.1865177e-06,0.00013605799999998308
75,0.000375,0.30778586,-0.00010895011,1.1890438e-06,0.00013768200000000843
76,0.00038,0.31012725,-0.00011196573,1.191518e-06,0.0001392959999999975
77,0.000385,0.31248988,-0.00011499759,1.1939396e-06,0.00014090200000000142
78,0.00039,0.31487342,-0.00011804438,1.1963081e-06,0.00014249999999999444
79,0.000395,0.31727754,-0.00012110478,1.1986227e-06,0.00014408800000001627
80,0.0004,0.3197019,-0.00012417751,1.2008831e-06,0.00014566799999998786
81,0.000405,0.32214616,-0.0001272613,1.2030887e-06,0.0001472399999999956
82,0.00041,0.32460997,-0.0001303549,1.2052392e-06,0.0001488020000000062
83,0.000415,0.327093,-0.00013345706,1.2073341e-06,0.00015035400000000328
84,0.00042,0.32959491,-0.00013656658,1.2093733e-06,0.00015189600000000645
85,0.000425,0.33211535,-0.00013968226,1.2113565e-06,0.00015343199999998954
86,0.00043,0.33465399,-0.00014280294,1.2132836e-06,0.00015495799999999652
87,0.000435,0.33721047,-0.00014592745,1.2151543e-06,0.00015647400000001126
88,0.00044,0.33978445,-0.00014905467,1.2169687e-06,0.00015797999999998973
89,0.000445,0.34237559,-0.0001521835,1.2187268e-06,0.00015947800000000443
90,0.00045,0.34498354,-0.00015531284,1.2204284e-06,0.00016096399999999332
91,0.000455,0.34760796,-0.00015844165,1.2220738e-06,0.00016244400000000453
92,0.00046,0.3502485,-0.00016156889,1.223663e-06,0.00016391199999999336
93,0.000465,0.35290481,-0.00016469354,1.2251962e-06,0.00016537200000001673
94,0.00047,0.35557656,-0.00016781461,1.2266735e-06,0.00016681999999999835
95,0.000475,0.35826339,-0.00017093115,1.2280951e-06,0.00016825999999998972
96,0.00048,0.36096496,-0.00017404221,1.2294614e-06,0.00016968800000000288
97,0.000485,0.36368093,-0.00017714687,1.2307727e-06,0.00017110999999999426
98,0.00049,0.36641094,-0.00018024426,1.2320291e-06,0.00017252000000000752
99,0.000495,0.36915467,-0.00018333349,1.2332312e-06,0.00017392000000000194
100,0.0005,0.37191175,-0.00018641373,1.2343792e-06,0.00017530799999999704
101,0.000505,0.37468186,-0.00018948416,1.2354736e-06,0.00017668999999999156
102,0.00051,0.37746464,-0.00019254398,1.2365148e-06,0.00017806000000000608
103,0.000515,0.38025976,-0.00019559243,1.2375033e-06,0.00017942000000000552
104,0.00052,0.38306688,-0.00019862876,1.2384396e-06,0.00018076999999999376
105,0.000525,0.38588565,-0.00020165224,1.2393241e-06,0.0001821100000000014
106,0.00053,0.38871573,-0.00020466219,1.2401573e-06,0.0001834380000000118
107,0.000535,0.3915568,-0.00020765791,1.2409399e-06,0.00018475799999999318
108,0.00054,0.39440851,-0.00021063875,1.2416724e-06,0.0001860680000000018
109,0.000545,0.39727052,-0.0002136041,1.2423553e-06,0.000187364000000002
110,0.00055,0.40014251,-0.00021655333,1.2429892e-06,0.0001886540000000016
111,0.000555,0.40302413,-0.00021948585,1.2435748e-06,0.00018993199999997885
112,0.00056,0.40591507,-0.00022240112,1.2441126e-06,0.00019120000000000869
113,0.000565,0.40881498,-0.00022529858,1.2446034e-06,0.00019245600000000786
114,0.00057,0.41172355,-0.0002281777,1.2450476e-06,0.00019370400000000336
115,0.000575,0.41464044,-0.00023103799,1.2454459e-06,0.00019493999999999767
116,0.00058,0.41756532,-0.00023387897,1.2457991e-06,0.00019616599999999805
117,0.000585,0.42049789,-0.00023670018,1.2461078e-06,0.00019737999999999725
118,0.00059,0.4234378,-0.00023950116,1.2463726e-06,0.00019858599999998861
119,0.000595,0.42638475,-0.00024228151,1.2465943e-06,0.00019977999999999996
